Variable,Categoría,"Total (n, %)","Con alteración ósea (n, %)","Sin alteración ósea (n, %)",p-value,V de Cramer,chi2,gl
Características demográficas,,,,,,,,
Edad,50-59,111 (27.4),77 (69.4),34 (30.6),< 0.001,0.298,36.06,2
,60 a 69,162 (40.0),139 (85.8),23 (14.2),,,,
,70 y más,132 (32.6),128 (97.0),4 (3.0),,,,
Sexo,Hombre,78 (19.3),64 (82.1),14 (17.9),0.5371,0.031,0.38,1
,Mujer,327 (80.7),280 (85.6),47 (14.4),,,,
Estado civil,En pareja,230 (56.8),187 (81.3),43 (18.7),0.0275,0.110,4.86,1
,Sin pareja,175 (43.2),157 (89.7),18 (10.3),,,,
Lugar de residencia,Municipios de Jalisco,210 (51.9),178 (84.8),32 (15.2),1.0000,0.000,0.00,1
,Zona Metropolitana de Guadalajara,195 (48.1),166 (85.1),29 (14.9),,,,
Condiciones materiales de la vida,,,,,,,,
Escolaridad,Con estudios,332 (82.0),279 (84.0),53 (16.0),0.3672,0.045,0.81,1
,Sin estudios,73 (18.0),65 (89.0),8 (11.0),,,,
Situación laboral,Con trabajo,97 (24.0),74 (76.3),23 (23.7),0.0102,0.128,6.60,1
,Desempleado,308 (76.0),270 (87.7),38 (12.3),,,,
Situación económica,Nivel bajo,337 (83.2),290 (86.1),47 (13.9),0.1036,0.123,6.17,3
,Nivel medio,21 (5.2),14 (66.7),7 (33.3),,,,
,Nivel alto,2 (0.5),2 (100.0),0 (0.0),,,,
,Sin información,45 (11.1),38 (84.4),7 (15.6),,,,
Sistema sanitario,,,,,,,,
Derechohabiente,Sin cobertura,61 (15.1),50 (82.0),11 (18.0),0.6102,0.025,0.26,1
,Con cobertura,344 (84.9),294 (85.5),50 (14.5),,,,
Enfermedad,Síndrome metabólico,301 (74.3),253 (84.1),48 (15.9),0.0673,0.115,5.40,2
,Otras enfermedades,28 (6.9),28 (100.0),0 (0.0),,,,
,Sano,76 (18.8),63 (82.9),13 (17.1),,,,
Cohesión social,,,,,,,,
Convivencia,Acompañado,335 (82.7),280 (83.6),55 (16.4),0.1374,0.074,2.21,1
,Vive solo,70 (17.3),64 (91.4),6 (8.6),,,,
Apoyo en enfermedad,Autocuidado,195 (48.1),164 (84.1),31 (15.9),0.7535,0.016,0.10,1
,Tiene apoyo,210 (51.9),180 (85.7),30 (14.3),,,,
Participación en grupos de ayuda mutua,No participa,358 (88.4),301 (84.1),57 (15.9),0.2633,0.056,1.25,1
,Sí participa,47 (11.6),43 (91.5),4 (8.5),,,,
Estilo de vida,,,,,,,,
Actividad física,No realiza,167 (41.2),133 (79.6),34 (20.4),0.0185,0.117,5.55,1
,Sí realiza,238 (58.8),211 (88.7),27 (11.3),,,,
Frecuencia de actividad física,6+ veces,81 (20.0),76 (93.8),5 (6.2),0.0086,0.183,13.63,4
,4-5 veces,49 (12.1),44 (89.8),5 (10.2),,,,
,2-3 veces,96 (23.7),83 (86.5),13 (13.5),,,,
,1 vez,26 (6.4),23 (88.5),3 (11.5),,,,
,No aplica,153 (37.8),118 (77.1),35 (22.9),,,,
Plan alimenticio,Con plan alimenticio,66 (16.3),56 (84.8),10 (15.2),1.0000,0.000,0.00,1
,Sin plan alimenticio,339 (83.7),288 (85.0),51 (15.0),,,,
Consumo de lácteos,Alta (5-7 días),149 (36.8),126 (84.6),23 (15.4),0.4579,0.062,1.56,2
,Media (3-4 días),83 (20.5),74 (89.2),9 (10.8),,,,
,Baja (0-2 días),173 (42.7),144 (83.2),29 (16.8),,,,
Clasificación IMC,Normal,97 (24.0),96 (99.0),1 (1.0),< 0.001,0.360,52.47,2
,Sobrepeso,164 (40.5),150 (91.5),14 (8.5),,,,
,Obesidad,144 (35.6),98 (68.1),46 (31.9),,,,
